Protein	G_niphandrodes_count
XP_011133859.1 hypothetical protein GNI_215180,...	1
XP_011133858.1 retroviral aspartyl protease	1
XP_011133857.1 KRAB-A domain protein, partial	1
XP_011133856.1 putative Pol protein	1
XP_011133855.1 hypothetical protein GNI_214870	1
XP_011133854.1 putative enzymatic polyprotein, ...	1
XP_011133853.1 hypothetical protein GNI_214570,...	1
XP_011133852.1 putative Gag-Pol polyprotein, pa...	1
XP_011133851.1 integrase core domain protein	1
XP_011133850.1 hypothetical protein GNI_214160	1
XP_011133849.1 putative RNA-directed DNA polyme...	1
XP_011133848.1 hypothetical protein GNI_213860,...	1
XP_011133847.1 integrase core domain protein, p...	1
XP_011133846.1 putative reverse transcriptase	1
XP_011133845.1 hypothetical protein GNI_213650	1
XP_011133844.1 hypothetical protein GNI_213550,...	1
XP_011133843.1 RNA-directed DNA polymerase, par...	1
XP_011133842.1 hypothetical protein GNI_213350	1
XP_011133841.1 hypothetical protein GNI_213250	1
XP_011133840.1 3' exoribonuclease family domain...	1
XP_011133839.1 hypothetical protein GNI_213140	1
XP_011133860.1 hypothetical protein GNI_215280,...	1
XP_011133862.1 hypothetical protein GNI_215480	1
XP_011133788.1 putative reverse transcriptase, ...	1
XP_011133863.1 hypothetical protein GNI_215580	1
XP_011133884.1 hypothetical protein GNI_218300	1
XP_011133883.1 hypothetical protein GNI_217400,...	1
XP_011133882.1 putative DUTPase, partial	1
XP_011133881.1 hypothetical protein GNI_217200,...	1
XP_011133880.1 hypothetical protein GNI_217100,...	1
XP_011133879.1 hypothetical protein GNI_217000,...	1
XP_011133878.1 hypothetical protein GNI_216900	1
XP_011133877.1 hypothetical protein GNI_216800	1
XP_011133876.1 RNA-directed DNA polymerase	1
XP_011133875.1 hypothetical protein GNI_216600,...	1
XP_011133874.1 integrase core domain protein	1
XP_011133873.1 Gag-pol polyprotein	1
XP_011133872.1 RNA-directed DNA polymerase	1
XP_011133871.1 Gag-pol polyprotein, partial	1
XP_011133870.1 RNA-directed DNA polymerase, par...	1
XP_011133869.1 hypothetical protein GNI_216000	1
XP_011133868.1 hypothetical protein GNI_215900	1
XP_011133867.1 hypothetical protein GNI_215890	1
XP_011133866.1 putative replication associated ...	1
XP_011133865.1 putative replication-associated ...	1
XP_011133864.1 hypothetical protein GNI_215680	1
XP_011133838.1 hypothetical protein GNI_212740	1
XP_011133837.1 hypothetical protein GNI_212640,...	1
XP_011133836.1 replicase	1
XP_011133835.1 replicase	1
XP_011133810.1 putative Pol polyprotein, partial	1
XP_011133809.1 hypothetical protein GNI_208240	1
XP_011133808.1 hypothetical protein GNI_208230	1
XP_011133807.1 hypothetical protein GNI_207820	1
XP_011133806.1 hypothetical protein GNI_207700,...	1
XP_011133805.1 putative reverse transcriptase	1
XP_011133804.1 hypothetical protein GNI_207500	1
XP_011133803.1 putative Pol polyprotein, partial	1
XP_011133802.1 KRAB-A domain protein, partial	1
XP_011133801.1 putative retrotransposon protein...	1
XP_011133800.1 hypothetical protein GNI_207100	1
XP_011133799.1 hypothetical protein GNI_207000	1
XP_011133798.1 structural protein	1
XP_011133797.1 structural protein	1
XP_011133796.1 hypothetical protein GNI_206660,...	1
XP_011133795.1 hypothetical protein GNI_206560,...	1
XP_011133794.1 AAA domain protein	1
XP_011133793.1 putative retrotransposon protein	1
XP_011133792.1 putative transmembrane protein	1
XP_011133791.1 hypothetical protein GNI_206250,...	1
XP_011133790.1 hypothetical protein GNI_206150	1
XP_011133811.1 hypothetical protein GNI_208350	1
XP_011133812.1 hypothetical protein GNI_208970	1
XP_011133813.1 hypothetical protein GNI_209070,...	1
XP_011133825.1 hypothetical protein GNI_210090,...	1
XP_011133834.1 replication associated protein	1
XP_011133833.1 hypothetical protein GNI_212330	1
XP_011133832.1 hypothetical protein GNI_212230	1
XP_011133831.1 hypothetical protein GNI_212130	1
XP_011133830.1 putative reverse transcriptase	1
XP_011133829.1 hypothetical protein GNI_211930	1
XP_011133828.1 putative retrotransposon protein...	1
XP_011133827.1 hypothetical protein GNI_210910	1
XP_011133826.1 hypothetical protein GNI_210810	1
XP_011133824.1 hypothetical protein GNI_209990	1
XP_011133814.1 integrase core domain protein	1
XP_011133823.1 hypothetical protein GNI_209890	1
XP_011133822.1 hypothetical protein GNI_209790	1
XP_011133821.1 hypothetical protein GNI_209780	1
XP_011133820.1 hypothetical protein GNI_209680	1
XP_011133819.1 hypothetical protein GNI_209580	1
XP_011133818.1 putative reverse transcriptase	1
XP_011133817.1 RNA-directed DNA polymerase, par...	1
XP_011133816.1 RNA-directed DNA polymerase, par...	1
XP_011133815.1 RNA-directed DNA polymerase	1
XP_011133885.1 hypothetical protein GNI_218400,...	1
XP_011133887.1 putative enzymatic polyprotein, ...	1
XP_011133888.1 hypothetical protein GNI_219410,...	1
XP_011133937.1 hypothetical protein GNI_226560,...	1
XP_011133959.1 carbohydrate esterase family 8 p...	1
XP_011133958.1 integrase core domain protein	1
XP_011133957.1 hypothetical protein GNI_228950	1
XP_011133956.1 hypothetical protein GNI_228840	1
XP_011133955.1 putative reverse transcriptase	1
XP_011133954.1 hypothetical protein GNI_228630	1
XP_011133953.1 hypothetical protein GNI_228530,...	1
XP_011133952.1 hypothetical protein GNI_228430	1
XP_011133951.1 RNA-directed DNA polymerase	1
XP_011133950.1 hypothetical protein GNI_228320	1
XP_011133949.1 aspartyl protease	1
XP_011133948.1 RNA-directed DNA polymerase, par...	1
XP_011133947.1 hypothetical protein GNI_227570	1
XP_011133946.1 hypothetical protein GNI_227470,...	1
XP_011133945.1 RNA-directed DNA polymerase, par...	1
XP_011133944.1 hypothetical protein GNI_227170,...	1
XP_011133943.1 hypothetical protein GNI_227070,...	1
XP_011133942.1 IS4 family transposase	1
XP_011133941.1 RNA-directed DNA polymerase, par...	1
XP_011133940.1 hypothetical protein GNI_226770	1
XP_011133939.1 putative retrotransposable eleme...	1
XP_011133960.1 putative Pol polyprotein	1
XP_011133961.1 hypothetical protein GNI_229380	1
XP_011133962.1 hypothetical protein GNI_229480	1
XP_011133974.1 RNA-directed DNA polymerase, par...	1
XP_011133983.1 putative polyprotein	1
XP_011133982.1 hypothetical protein GNI_233220	1
XP_011133981.1 putative transposon protein, par...	1
XP_011133980.1 hypothetical protein GNI_232500	1
XP_011133979.1 hypothetical protein GNI_232490	1
XP_011133978.1 hypothetical protein GNI_232280	1
XP_011133977.1 hypothetical protein GNI_232180	1
XP_011133976.1 hypothetical protein GNI_232170	1
XP_011133975.1 hypothetical protein GNI_231940	1
XP_011133973.1 putative reverse transcriptase f...	1
XP_011133963.1 hypothetical protein GNI_230000,...	1
XP_011133972.1 putative polyprotein	1
XP_011133971.1 hypothetical protein GNI_231240	1
XP_011133970.1 hypothetical protein GNI_231230	1
XP_011133969.1 hypothetical protein GNI_230730	1
XP_011133968.1 hypothetical protein GNI_230630,...	1
XP_011133967.1 hypothetical protein GNI_230530	1
XP_011133966.1 replicase	1
XP_011133965.1 hypothetical protein GNI_230510	1
XP_011133964.1 hypothetical protein GNI_230100,...	1
XP_011133938.1 hypothetical protein GNI_226660,...	1
XP_011133936.1 hypothetical protein GNI_226060	1
XP_011133889.1 hypothetical protein GNI_219510	1
XP_011133935.1 replicase	1
XP_011133910.1 RNA-directed DNA polymerase	1
XP_011133909.1 hypothetical protein GNI_221950	1
XP_011133908.1 RNA-directed DNA polymerase, par...	1
XP_011133907.1 endonuclease-reverse transcripta...	1
XP_011133906.1 hypothetical protein GNI_221650,...	1
XP_011133905.1 hypothetical protein GNI_221550	1
XP_011133904.1 endonuclease-reverse transcriptase	1
XP_011133903.1 RNA-directed DNA polymerase	1
XP_011133902.1 hypothetical protein GNI_220830	1
XP_011133901.1 putative retransposons RT-DIRS1:...	1
XP_011133900.1 hypothetical protein GNI_220530,...	1
XP_011133899.1 hypothetical protein GNI_220430,...	1
XP_011133898.1 RNA-directed DNA polymerase	1
XP_011133897.1 hypothetical protein GNI_220230	1
XP_011133896.1 DNA polymerase	1
WP_014776104.1 MULTISPECIES: ORF6N domain-conta...	1
XP_011133894.1 hypothetical protein GNI_219920,...	1
XP_011133893.1 putative reverse transcriptase f...	1
XP_011133892.1 hypothetical protein GNI_219720	1
XP_011133891.1 RNA-directed DNA polymerase	1
XP_011133890.1 hypothetical protein GNI_219520,...	1
XP_011133911.1 hypothetical protein GNI_222070	1
XP_011133912.1 putative Pol polyprotein, partial	1
XP_011133913.1 putative pol protein	1
XP_011133925.1 putative endonuclease-reverse tr...	1
XP_011133934.1 hypothetical protein GNI_225950	1
XP_011133933.1 hypothetical protein GNI_225750	1
XP_011133932.1 hypothetical protein GNI_225150,...	1
XP_011133931.1 putative reverse transcriptase	1
XP_011133930.1 putative transmembrane protein	1
XP_011133929.1 hypothetical protein GNI_224630,...	1
XP_011133928.1 putative endonuclease-reverse tr...	1
XP_011133927.1 hypothetical protein GNI_224330,...	1
XP_011133926.1 putative endonuclease-reverse tr...	1
XP_011133924.1 hypothetical protein GNI_224030,...	1
XP_011133914.1 hypothetical protein GNI_222470	1
XP_011133923.1 hypothetical protein GNI_223930	1
XP_011133922.1 hypothetical protein GNI_223830	1
XP_011133921.1 hypothetical protein GNI_223730,...	1
XP_011133920.1 integrase core domain protein	1
XP_011133919.1 putative Pol polyprotein	1
XP_011133918.1 putative retrovirus polyprotein,...	1
XP_011133917.1 hypothetical protein GNI_223100	1
XP_011133916.1 hypothetical protein GNI_222580	1
XP_011133915.1 RNA-directed DNA polymerase, par...	1
XP_011133789.1 hypothetical protein GNI_206050	1
XP_011133785.1 hypothetical protein GNI_205740	1
XP_011133585.1 hypothetical protein GNI_184400	1
XP_011133660.1 putative transmembrane protein	1
XP_011133658.1 putative polyprotein	1
XP_011133657.1 hypothetical protein GNI_190690,...	1
XP_011133656.1 hypothetical protein GNI_190590,...	1
XP_011133655.1 hypothetical protein GNI_190490,...	1
XP_011133654.1 hypothetical protein GNI_190390,...	1
XP_011133653.1 hypothetical protein GNI_190290	1
XP_011133652.1 hypothetical protein GNI_190280	1
XP_011133651.1 endonuclease-reverse transcriptase	1
XP_011133650.1 hypothetical protein GNI_190080,...	1
XP_011133649.1 hypothetical protein GNI_189980	1
XP_011133648.1 endonuclease-reverse transcriptase	1
XP_011133647.1 hypothetical protein GNI_189780	1
XP_011133646.1 endonuclease/exonuclease/phospha...	1
XP_011133645.1 reverse transcriptase	1
XP_011133644.1 putative retrotransposon protein...	1
XP_011133643.1 hypothetical protein GNI_188140,...	1
XP_011133642.1 hypothetical protein GNI_188040,...	1
XP_011133641.1 hypothetical protein GNI_187940,...	1
XP_011133640.1 hypothetical protein GNI_187840,...	1
XP_011133639.1 putative RNase HI in long-term r...	1
XP_011133638.1 endonuclease-reverse transcriptase	1
XP_011133659.1 putative iron sulfur cluster ass...	1
XP_011133661.1 hypothetical protein GNI_190820	1
XP_011133784.1 putative RNase HI in long-term r...	1
XP_011133662.1 hypothetical protein GNI_190830	1
XP_011133683.1 putative enzymatic polyprotein, ...	1
XP_011133682.1 hypothetical protein GNI_193230	1
XP_011133681.1 hypothetical protein GNI_193130	1
XP_011133680.1 RNA-directed DNA polymerase	1
XP_011133679.1 hypothetical protein GNI_192730,...	1
XP_011133678.1 hypothetical protein GNI_191910	1
XP_011133677.1 hypothetical protein GNI_191900	1
XP_011133676.1 RNA-directed DNA polymerase	1
XP_011133675.1 zinc knuckle protein, partial	1
XP_011133674.1 hypothetical protein GNI_191490,...	1
XP_011133673.1 hypothetical protein GNI_191390	1
XP_011133672.1 putative transmembrane protein	1
XP_011133671.1 hypothetical protein GNI_191280	1
XP_011133670.1 integrase core domain protein	1
XP_011133669.1 hypothetical protein GNI_191170,...	1
XP_011133668.1 hypothetical protein GNI_191070	1
XP_011133667.1 hypothetical protein GNI_191060	1
XP_011133666.1 hypothetical protein GNI_190960	1
XP_011133665.1 hypothetical protein GNI_190860,...	1
XP_011133664.1 hypothetical protein GNI_190850	1
XP_011133663.1 hypothetical protein GNI_190840	1
XP_011133637.1 putative retropepsins domain pro...	1
XP_011133636.1 putative reverse-transcriptase-l...	1
XP_011133635.1 putative enzymatic polyprotein	1
XP_011133634.1 hypothetical protein GNI_187240	1
XP_011133606.1 zinc knuckle protein	1
XP_011133605.1 putative transmembrane protein	1
XP_011133604.1 hypothetical protein GNI_185490,...	1
XP_011133603.1 hypothetical protein GNI_185390	1
XP_011133602.1 acyltransferase	1
XP_011133601.1 DNA-directed RNA polymerase	1
XP_011133600.1 putative mitotic checkpoint prot...	1
XP_011133599.1 hypothetical protein GNI_185080	1
XP_011133598.1 hypothetical protein GNI_185070	1
XP_011133597.1 hypothetical protein GNI_184970	1
XP_011133596.1 hypothetical protein GNI_184960	1
XP_011133595.1 hypothetical protein GNI_184950	1
XP_011133594.1 MA3 domain protein	1
XP_011133593.1 hypothetical protein GNI_184840	1
XP_011133592.1 40S ribosomal protein S18	1
XP_011133591.1 ribosomal protein S27a	1
XP_011133590.1 hypothetical protein GNI_184810	1
XP_011133589.1 hypothetical protein GNI_184710,...	1
XP_011133588.1 hypothetical protein GNI_184610	1
XP_011133587.1 putative retrotransposon protein...	1
XP_011133586.1 hypothetical protein GNI_184500	1
XP_011133608.1 hypothetical protein GNI_185890	1
XP_011133609.1 C2 domain protein	1
XP_011133610.1 hypothetical protein GNI_186000	1
XP_011133624.1 N-acetylglucosaminyl-phosphatidy...	1
XP_011133633.1 integrase core domain protein	1
XP_011133632.1 hypothetical protein GNI_187040,...	1
XP_011133631.1 hypothetical protein GNI_186940	1
XP_011133630.1 hypothetical protein GNI_186930	1
XP_011133629.1 hypothetical protein GNI_186920	1
XP_011133628.1 hypothetical protein GNI_186910	1
XP_011133627.1 hypothetical protein GNI_186900	1
XP_011133626.1 bisphosphoglycerate mutase	1
XP_011133625.1 putative N-acetyltransferase	1
XP_011133623.1 protein kinase domain protein	1
XP_011133612.1 hypothetical protein GNI_186200,...	1
XP_011133622.1 hypothetical protein GNI_186750	1
XP_011133621.1 putative DNA topoisomerase I	1
XP_011133620.1 hypothetical protein GNI_186730	1
XP_011133619.1 hypothetical protein GNI_186630	1
XP_011133618.1 hypothetical protein GNI_186530	1
XP_011133617.1 putative RNA-directed DNA polyme...	1
XP_011133616.1 hypothetical protein GNI_186510	1
XP_011133615.1 hypothetical protein GNI_186410	1
XP_011133613.1 hypothetical protein GNI_186300,...	1
XP_011133684.1 hypothetical protein GNI_193340	1
XP_011133685.1 hypothetical protein GNI_193440,...	1
XP_011133686.1 hypothetical protein GNI_193450	1
XP_011133737.1 RNA-directed DNA polymerase	1
XP_011133759.1 retroviral aspartyl protease, pa...	1
XP_011133758.1 hypothetical protein GNI_202510	1
XP_011133757.1 aspartyl protease	1
XP_011133756.1 putative reverse transcriptase	1
XP_011133755.1 integrase core domain protein	1
XP_011133754.1 hypothetical protein GNI_202380	1
XP_011133753.1 hypothetical protein GNI_202280	1
XP_011133752.1 hypothetical protein GNI_202180	1
XP_011133751.1 hypothetical protein GNI_202080	1
XP_011133750.1 hypothetical protein GNI_202070	1
XP_011133749.1 putative retrotransposon protein	1
XP_011133748.1 hypothetical protein GNI_201870,...	1
XP_011133747.1 hypothetical protein GNI_201770	1
XP_011133746.1 putative reverse transcriptase	1
XP_011133745.1 RNA-directed DNA polymerase	1
XP_011133744.1 hypothetical protein GNI_201470,...	1
XP_011133743.1 hypothetical protein GNI_201270,...	1
XP_011133742.1 RNA-directed DNA polymerase	1
XP_011133741.1 integrase core domain protein	1
XP_011133740.1 hypothetical protein GNI_200360	1
XP_011133739.1 hypothetical protein GNI_200350,...	1
XP_011133760.1 integrase core domain protein, p...	1
XP_011133761.1 hypothetical protein GNI_202810	1
XP_011133762.1 putative enzymatic polyprotein, ...	1
XP_011133774.1 RNA-directed DNA polymerase	1
XP_011133783.1 hypothetical protein GNI_205540	1
XP_011133782.1 hypothetical protein GNI_205440,...	1
XP_011133781.1 hypothetical protein GNI_205340	1
XP_011133780.1 hypothetical protein GNI_205240	1
XP_011133779.1 putative RNA-directed DNA polyme...	1
XP_011133778.1 putative reverse transcriptase, ...	1
XP_011133777.1 hypothetical protein GNI_204940,...	1
XP_011133776.1 putative Pol protein	1
XP_011133775.1 putative reverse transcriptase f...	1
XP_011133773.1 pol protein, partial	1
XP_011133763.1 hypothetical protein GNI_203010,...	1
XP_011133772.1 hypothetical protein GNI_204040,...	1
XP_011133771.1 hypothetical protein GNI_203540	1
XP_011133770.1 endonuclease-reverse transcripta...	1
XP_011133769.1 hypothetical protein GNI_203430	1
XP_011133768.1 zinc knuckle protein	1
XP_011133767.1 hypothetical protein GNI_203320	1
XP_011133766.1 putative retrotransposon nucleoc...	1
XP_011133765.1 integrase core domain protein, p...	1
XP_011133764.1 integrase core domain protein	1
XP_011133738.1 putative KRAB-A domain protein	1
XP_011133736.1 retroviral aspartyl protease, pa...	1
XP_011133687.1 hypothetical protein GNI_193460	1
XP_011133735.1 hypothetical protein GNI_199350,...	1
XP_011133708.1 3' exoribonuclease family domain...	1
XP_011133707.1 hypothetical protein GNI_196150	1
XP_011133706.1 hypothetical protein GNI_196050,...	1
XP_011133705.1 hypothetical protein GNI_195950	1
XP_011133704.1 hypothetical protein GNI_195420	1
XP_011133703.1 3'-5' exonuclease, partial	1
XP_011133702.1 hypothetical protein GNI_195310	1
XP_011133701.1 hypothetical protein GNI_194910,...	1
XP_011133700.1 hypothetical protein GNI_194810,...	1
XP_011133699.1 hypothetical protein GNI_194710	1
XP_011133698.1 hypothetical protein GNI_194610,...	1
XP_011133697.1 putative retrotransposon protein	1
XP_011133696.1 putative gag-pol polyprotein, pa...	1
XP_011133695.1 RNA-directed DNA polymerase	1
XP_011133694.1 zinc knuckle protein	1
XP_011133693.1 putative reverse transcriptase f...	1
XP_011133692.1 enzymatic polyprotein	1
XP_011133691.1 putative KRAB-A domain protein, ...	1
XP_011133690.1 integrase core domain protein	1
XP_011133689.1 hypothetical protein GNI_193660,...	1
XP_011133688.1 hypothetical protein GNI_193560	1
XP_011133709.1 putative Gag-pol polyprotein, pa...	1
XP_011133710.1 hypothetical protein GNI_196360	1
XP_011133711.1 putative transmembrane protein, ...	1
XP_011133723.1 hypothetical protein GNI_197490,...	1
XP_011133734.1 hypothetical protein GNI_199250,...	1
XP_011133733.1 hypothetical protein GNI_199150,...	1
XP_011133732.1 hypothetical protein GNI_199050	1
XP_011133731.1 zinc knuckle protein	1
XP_011133730.1 RNA-directed DNA polymerase, par...	1
XP_011133729.1 putative KRAB-A domain protein	1
XP_011133728.1 hypothetical protein GNI_198530	1
XP_011133725.1 putative Gag-pol polyprotein	1
XP_011133724.1 hypothetical protein GNI_197800	1
XP_011133722.1 hypothetical protein GNI_197380	1
XP_011133712.1 hypothetical protein GNI_196470,...	1
XP_011133721.1 hypothetical protein GNI_197370,...	1
XP_011133720.1 hypothetical protein GNI_197270	1
XP_011133719.1 putative transmembrane protein, ...	1
XP_011133718.1 putative Gag-pol polyprotein	1
XP_011133717.1 hypothetical protein GNI_196970,...	1
XP_011133716.1 hypothetical protein GNI_196870	1
XP_011133715.1 hypothetical protein GNI_196770	1
XP_011133714.1 hypothetical protein GNI_196670,...	1
XP_011133713.1 hypothetical protein GNI_196570,...	1
XP_011131601.1 Dcp1-like decapping family protein	1
XP_011131598.1 RNA recognition motif protein	1
XP_011131599.1 ribosomal L1p/L10e family protein	1
XP_011129495.1 hypothetical protein GNI_041920	1
XP_011129493.1 hypothetical protein GNI_041810	1
XP_011129492.1 hypothetical protein GNI_041710	1
XP_011129491.1 hypothetical protein GNI_041700	1
XP_011129490.1 60S ribosomal protein L31	1
XP_011129489.1 DNA topoisomerase	1
XP_011129488.1 DNA topoisomerase	1
XP_011129487.1 putative DNA topoisomerase III	1
XP_011129486.1 TBC domain protein	1
XP_011129485.1 hypothetical protein GNI_041640	1
XP_011129484.1 fusaric acid resistance-like pro...	1
XP_011129483.1 hypothetical protein GNI_041620	1
XP_011129482.1 RNase L inhibitor ATP-binding ca...	1
XP_011129481.1 hypothetical protein GNI_041510	1
XP_011129480.1 thiamine pyrophosphokinase	1
XP_011129479.1 hypothetical protein GNI_041490	1
XP_011129478.1 DTW domain protein	1
XP_011129477.1 hypothetical protein GNI_041380	1
XP_011129476.1 GATA zinc finger protein	1
XP_011129475.1 hypothetical protein GNI_041270	1
XP_011129474.1 hypothetical protein GNI_041260	1
XP_011129473.1 putative transmembrane protein	1
XP_011129494.1 hypothetical protein GNI_041820,...	1
XP_011129496.1 hypothetical protein GNI_041930	1
XP_011129520.1 hypothetical protein GNI_042980	1
XP_011129497.1 hypothetical protein GNI_041940	1
XP_011129518.1 putative GTPase	1
XP_011129517.1 GTPase	1
XP_011129516.1 C2 domain protein	1
XP_011129515.1 hypothetical protein GNI_042660	1
XP_011129514.1 integrase core domain protein	1
XP_011129513.1 hypothetical protein GNI_042550	1
XP_011129512.1 hypothetical protein GNI_042450	1
XP_011129511.1 hypothetical protein GNI_042440	1
XP_011129510.1 C2 domain protein	1
XP_011129509.1 tellurite resistance protein TehB	1
XP_011129508.1 hypothetical protein GNI_042410	1
XP_011129507.1 putative NADH(P)-binding, PF1346...	1
XP_011129506.1 putative actin	1
XP_011129505.1 zinc finger, C3HC4 type (ring fi...	1
XP_011129504.1 lectin C-type domain protein	1
XP_011129503.1 hypothetical protein GNI_042180	1
XP_011129502.1 Mnd1 family protein	1
XP_011129501.1 hypothetical protein GNI_042070	1
XP_011129500.1 hypothetical protein GNI_042060	1
XP_011129499.1 hypothetical protein GNI_042050,...	1
XP_011129498.1 hypothetical protein GNI_041950	1
XP_011129472.1 cytoplasmic protein	1
XP_011129471.1 putative arginine N-methyltransf...	1
XP_011129470.1 putative SDA1-like protein	1
XP_011129469.1 histone H3	1
XP_011129444.1 LsmAD domain protein	1
XP_011129443.1 hypothetical protein GNI_040590	1
XP_011129442.1 nucleolar protein 5	1
XP_011129441.1 hypothetical protein GNI_040570	1
XP_011129440.1 hypothetical protein GNI_040560	1
XP_011129439.1 60S ribosomal protein L20	1
XP_011129438.1 hypothetical protein GNI_040540	1
XP_011129437.1 SFT2 protein	1
XP_011129436.1 putative glutamine-rich protein 2	1
XP_011129435.1 putative trichohyalin	1
XP_011129434.1 synaptonemal complex protein 1	1
XP_011129433.1 hypothetical protein GNI_040400	1
XP_011129432.1 apyrase	1
XP_011129431.1 hypothetical protein GNI_040380,...	1
XP_011129430.1 prefoldin subunit	1
XP_011129429.1 putative mannose-P-dolichol util...	1
XP_011129428.1 GRASP55/65 PDZ-like domain protein	1
XP_011129427.1 SprT-like family protein	1
XP_011129426.1 hypothetical protein GNI_040060	1
XP_011129425.1 hypothetical protein GNI_040050	1
XP_011129424.1 putative glutathione S-transfera...	1
XP_011129445.1 putative acetyltransferase-like ...	1
XP_011129446.1 eukaryotic peptide chain release...	1
XP_011129447.1 Tat-binding protein 1(TBP-1)-int...	1
XP_011129459.1 putative exportin 1-like protein	1
XP_011129468.1 carboxy-terminal domain cyclin	1
XP_011129467.1 hypothetical protein GNI_041190	1
XP_011129466.1 hypothetical protein GNI_041180	1
XP_011129465.1 putative transmembrane protein	1
XP_011129464.1 putative transmembrane protein	1
XP_011129463.1 putative transmembrane protein, ...	1
XP_011129462.1 hypothetical protein GNI_040960,...	1
XP_011129461.1 putative transmembrane protein	1
XP_011129460.1 putative zinc finger protein	1
XP_011129458.1 dephospho-CoA kinase	1
XP_011129448.1 hypothetical protein GNI_040640	1
XP_011129457.1 ADP-ribosylglycohydrolase	1
XP_011129456.1 bromodomain protein	1
XP_011129455.1 vaculolar membrane protein	1
XP_011129454.1 Ras-induced vulval development a...	1
XP_011129453.1 hypothetical protein GNI_040780	1
XP_011129452.1 p25-alpha	1
XP_011129451.1 hypothetical protein GNI_040760	1
XP_011129450.1 hypothetical protein GNI_040660	1
XP_011129449.1 hypothetical protein GNI_040650	1
XP_011129519.1 GTPase, partial	1
XP_011129521.1 PT repeat protein	1
XP_011129422.1 YrhK-like protein	1
XP_011129595.1 hypothetical protein GNI_045710	1
XP_011129593.1 hypothetical protein GNI_045690	1
XP_011129592.1 putative viral A-type inclusion ...	1
XP_011129591.1 hypothetical protein GNI_045670	1
XP_011129590.1 importin subunit alpha	1
XP_011129589.1 hypothetical protein GNI_045650	1
XP_011129588.1 hypothetical protein GNI_045640	1
XP_011129587.1 isoleucine-tRNA ligase	1
XP_011129586.1 putative phosphatidylinositol 3-...	1
XP_011129585.1 hypothetical protein GNI_045610	1
XP_011129584.1 putative nucleoporin, partial	1
XP_011129583.1 Rab GTPase family 1 protein, par...	1
XP_011129582.1 Ras-related protein Rab, partial	1
XP_011129581.1 small GTPase family Rab subfamil...	1
XP_011129580.1 hypothetical protein GNI_045200	1
XP_011129579.1 hypothetical protein GNI_045190	1
XP_011129578.1 hypothetical protein GNI_045180	1
XP_011129576.1 hypothetical protein GNI_045070,...	1
XP_011129575.1 hypothetical protein GNI_044970	1
XP_011129574.1 hypothetical protein GNI_044960,...	1
XP_011129573.1 hypothetical protein GNI_044860	1
XP_011129572.1 hypothetical protein GNI_044850,...	1
XP_011129594.1 hypothetical protein GNI_045700	1
XP_011129596.1 hypothetical protein GNI_045720	1
XP_011129522.1 transport particle (TRAPP) compo...	1
XP_011129597.1 hypothetical protein GNI_045820	1
XP_011129618.1 hypothetical protein GNI_046840	1
XP_011129617.1 hypothetical protein GNI_046830	1
XP_011129616.1 flap endonuclease 1	1
XP_011129615.1 flap endonuclease 1, partial	1
XP_011129614.1 hypothetical protein GNI_046620	1
XP_011129613.1 hypothetical protein GNI_046610	1
XP_011129612.1 ubiquitin family protein	1
XP_011129611.1 membrane protein	1
XP_011129610.1 hypothetical protein GNI_046400	1
XP_011129609.1 hypothetical protein GNI_046390	1
XP_011129608.1 hypothetical protein GNI_046290	1
XP_011129607.1 hypothetical protein GNI_046280	1
XP_011129606.1 hypothetical protein GNI_046270	1
XP_011129605.1 hypothetical protein GNI_046170	1
XP_011129604.1 hypothetical protein GNI_046160	1
XP_011129603.1 hypothetical protein GNI_046060	1
XP_011129602.1 hypothetical protein GNI_046050	1
XP_011129601.1 LSM domain protein	1
XP_011129600.1 putative methylase, partial	1
XP_011129599.1 major facilitator superfamily tr...	1
XP_011129598.1 hypothetical protein GNI_045830	1
XP_011129571.1 hypothetical protein GNI_044840	1
XP_011129570.1 hypothetical protein GNI_044830	1
XP_011129569.1 amine oxidase	1
XP_011129568.1 transcriptional coactivator p15 ...	1
XP_011129543.1 hypothetical protein GNI_043480	1
XP_011129542.1 putative transmembrane protein	1
XP_011129541.1 hypothetical protein GNI_043460,...	1
XP_011129540.1 lipase	1
XP_011129539.1 hypothetical protein GNI_043350	1
XP_011129538.1 putative transmembrane protein	1
XP_011129537.1 hypothetical protein GNI_043330	1
XP_011129536.1 hypothetical protein GNI_043320	1
XP_011129535.1 collagen triple helix protein, p...	1
XP_011129534.1 pseudouridine synthase, partial	1
XP_011129533.1 hypothetical protein GNI_043110	1
XP_011129532.1 hypothetical protein GNI_043100	1
XP_011129531.1 Noc2p family protein	1
XP_011129530.1 protein kinase domain protein	1
XP_011129529.1 putative SNF2 helicase	1
XP_011129528.1 dolichol-phosphate mannosyltrans...	1
XP_011129527.1 ribosomal protein L19	1
XP_011129526.1 putative transmembrane protein	1
XP_011129525.1 hypothetical protein GNI_043030	1
XP_011129524.1 hypothetical protein GNI_043020	1
XP_011129523.1 hypothetical protein GNI_043010	1
XP_011129544.1 concanavalin A-like lectin/gluca...	1
XP_011129545.1 hypothetical protein GNI_043590,...	1
XP_011129546.1 putative Rhs element protein Vgr	1
XP_011129558.1 6-phosphofructokinase	1
XP_011129567.1 putative MORN repeat protein	1
XP_011129566.1 2OG-Fe(II) oxygenase family protein	1
XP_011129565.1 small GTPase family Rab subfamil...	1
